"Lon","Lat","origin"
43.5,-36.08,"no_sperm_whale_sighting"
58.08,-20.2,"no_encounter"
79.33,-37.66,"no_encounter"
79.98,-34.36,"no_encounter"
77.41,-30.16,"no_sperm_whale_sighting"
31,-37.33,"no_sperm_whale_sighting"
48.6,-25.73,"no_sperm_whale_sighting"
66.85,-37.11,"no_sperm_whale_sighting"
83.95,-15.68,"no_sperm_whale_sighting"
75.16,-36.08,"no_sperm_whale_sighting"
35.4,-25.1,"no_encounter"
42.73,-4,"no_encounter"
58.9,-24.1,"no_sperm_whale_sighting"
40.31,-6.6,"no_encounter"
46.8,-12.16,"no_encounter"
69.66,-34.83,"no_encounter"
70,-32.7,"no_encounter"
79.16,-37.56,"no_sperm_whale_sighting"
77.36,-35.21,"no_sperm_whale_sighting"
53.5,-8.83,"no_sperm_whale_sighting"
53,-31,"no_encounter"
66,-34,"no_encounter"
63.43,-35.25,"no_sperm_whale_sighting"
77.93,-33.7,"no_sperm_whale_sighting"
28.23,-39.51,"no_encounter"
42.15,-23.53,"no_encounter"
63.4,-19.7,"no_encounter"
44.88,-9.61,"no_sperm_whale_sighting"
30.05,-33.58,"no_encounter"
42.96,-10.91,"no_encounter"
41.16,-5.93,"no_sperm_whale_sighting"
41.5,-6.3,"no_encounter"
54.43,5.53,"no_encounter"
54,-3.16,"no_sperm_whale_sighting"
41.05,-27.96,"no_sperm_whale_sighting"
50.2,-35.96,"no_encounter"
56.83,-14.41,"no_encounter"
43.66,-24.05,"no_encounter"
63,-36.75,"no_sperm_whale_sighting"
42.36,-13.35,"no_encounter"
47.33,-6.66,"no_sperm_whale_sighting"
42.7,-22.96,"no_sperm_whale_sighting"
41,-17.58,"no_encounter"
31.35,-39.63,"no_sperm_whale_sighting"
42.21,-8.91,"no_encounter"
56.3,-34.01,"no_encounter"
52.09,-23.94,"no_encounter"
54.53,-37,"no_encounter"
58.35,17.25,"no_sperm_whale_sighting"
35.93,-25.16,"no_encounter"
44.15,-26.91,"no_encounter"
41.1,-6.46,"no_encounter"
68.93,-33.93,"no_encounter"
50.26,-25.96,"no_encounter"
35.9,-23.36,"no_encounter"
66.66,-35.85,"no_sperm_whale_sighting"
40.48,-33.1,"no_encounter"
38.08,-26,"no_sperm_whale_sighting"
77.16,-38.96,"no_sperm_whale_sighting"
42.68,-24.28,"no_sperm_whale_sighting"
77.86,-38.3,"no_encounter"
55.53,-36.83,"no_encounter"
41.51,-3.98,"no_sperm_whale_sighting"
44.83,-9.91,"no_sperm_whale_sighting"
43.16,-2.13,"no_encounter"
41.18,-5.88,"no_encounter"
54.31,-3.76,"no_sperm_whale_sighting"
80.68,-36.78,"no_sperm_whale_sighting"
78.33,-37.75,"no_sperm_whale_sighting"
44.2,-6.85,"no_sperm_whale_sighting"
50,-4.25,"no_encounter"
